municipio,estabelecimentos,cidade,uf,percentual_total
Papanduva - SC,20,Papanduva,SC,0.09536070185476565
Santa Cecília - SC,20,Santa Cecília,SC,0.09536070185476565
Agrolândia - SC,19,Agrolândia,SC,0.09059266676202736
Gravatal - SC,19,Gravatal,SC,0.09059266676202736
Iporã do Oeste - SC,19,Iporã do Oeste,SC,0.09059266676202736
Otacílio Costa - SC,19,Otacílio Costa,SC,0.09059266676202736
Rodeio - SC,19,Rodeio,SC,0.09059266676202736
Treze Tílias - SC,19,Treze Tílias,SC,0.09059266676202736
Faxinal dos Guedes - SC,18,Faxinal dos Guedes,SC,0.0858246316692891
Lebon Régis - SC,18,Lebon Régis,SC,0.0858246316692891
Pescaria Brava - SC,18,Pescaria Brava,SC,0.0858246316692891
Piratuba - SC,18,Piratuba,SC,0.0858246316692891
Rio dos Cedros - SC,18,Rio dos Cedros,SC,0.0858246316692891
Urubici - SC,18,Urubici,SC,0.0858246316692891
Armazém - SC,17,Armazém,SC,0.0810565965765508
Correia Pinto - SC,17,Correia Pinto,SC,0.0810565965765508
Ipumirim - SC,17,Ipumirim,SC,0.0810565965765508
Siderópolis - SC,17,Siderópolis,SC,0.0810565965765508
Campo Erê - SC,16,Campo Erê,SC,0.07628856148381252
Descanso - SC,16,Descanso,SC,0.07628856148381252
Grão Pará - SC,16,Grão Pará,SC,0.07628856148381252
Luzerna - SC,16,Luzerna,SC,0.07628856148381252
Sangão - SC,16,Sangão,SC,0.07628856148381252
Saudades - SC,16,Saudades,SC,0.07628856148381252
Águas Mornas - SC,15,Águas Mornas,SC,0.07152052639107423
Mondaí - SC,15,Mondaí,SC,0.07152052639107423
São Carlos - SC,15,São Carlos,SC,0.07152052639107423
Trombudo Central - SC,15,Trombudo Central,SC,0.07152052639107423
Guaraciaba - SC,14,Guaraciaba,SC,0.06675249129833595
Imbuia - SC,14,Imbuia,SC,0.06675249129833595
Jacinto Machado - SC,14,Jacinto Machado,SC,0.06675249129833595
Lauro Muller - SC,14,Lauro Muller,SC,0.06675249129833595
Meleiro - SC,14,Meleiro,SC,0.06675249129833595
Rio do Oeste - SC,14,Rio do Oeste,SC,0.06675249129833595
Santa Rosa do Sul - SC,14,Santa Rosa do Sul,SC,0.06675249129833595
Itá - SC,13,Itá,SC,0.06198445620559768
Laurentino - SC,13,Laurentino,SC,0.06198445620559768
Água Doce - SC,12,Água Doce,SC,0.05721642111285939
Benedito Novo - SC,12,Benedito Novo,SC,0.05721642111285939
Bom Retiro - SC,12,Bom Retiro,SC,0.05721642111285939
Botuverá - SC,12,Botuverá,SC,0.05721642111285939
Coronel Freitas - SC,12,Coronel Freitas,SC,0.05721642111285939
Guatambú - SC,12,Guatambú,SC,0.05721642111285939
Irineópolis - SC,12,Irineópolis,SC,0.05721642111285939
Monte Castelo - SC,12,Monte Castelo,SC,0.05721642111285939
Praia Grande - SC,12,Praia Grande,SC,0.05721642111285939
Irani - SC,11,Irani,SC,0.05244838602012111
Ouro - SC,11,Ouro,SC,0.05244838602012111
Salete - SC,11,Salete,SC,0.05244838602012111
Alfredo Wagner - SC,10,Alfredo Wagner,SC,0.04768035092738283
Caibi - SC,10,Caibi,SC,0.04768035092738283
Campo Belo do Sul - SC,10,Campo Belo do Sul,SC,0.04768035092738283
Cunha Porã - SC,10,Cunha Porã,SC,0.04768035092738283
Modelo - SC,10,Modelo,SC,0.04768035092738283
São João do Oeste - SC,10,São João do Oeste,SC,0.04768035092738283
Braço do Trombudo - SC,9,Braço do Trombudo,SC,0.04291231583464455
Cordilheira Alta - SC,9,Cordilheira Alta,SC,0.04291231583464455
Major Vieira - SC,9,Major Vieira,SC,0.04291231583464455
Nova Erechim - SC,9,Nova Erechim,SC,0.04291231583464455
Ponte Alta - SC,9,Ponte Alta,SC,0.04291231583464455
Quilombo - SC,9,Quilombo,SC,0.04291231583464455
Rio das Antas - SC,9,Rio das Antas,SC,0.04291231583464455
São João do Sul - SC,9,São João do Sul,SC,0.04291231583464455
Tangará - SC,9,Tangará,SC,0.04291231583464455
Vidal Ramos - SC,9,Vidal Ramos,SC,0.04291231583464455
Águas de Chapecó - SC,8,Águas de Chapecó,SC,0.03814428074190626
Doutor Pedrinho - SC,8,Doutor Pedrinho,SC,0.03814428074190626
Pedras Grandes - SC,8,Pedras Grandes,SC,0.03814428074190626
São Domingos - SC,8,São Domingos,SC,0.03814428074190626
São João do Itaperiú - SC,8,São João do Itaperiú,SC,0.03814428074190626
Tunápolis - SC,8,Tunápolis,SC,0.03814428074190626
Vitor Meireles - SC,8,Vitor Meireles,SC,0.03814428074190626
Águas Frias - SC,7,Águas Frias,SC,0.033376245649167975
São José do Cerrito - SC,7,São José do Cerrito,SC,0.033376245649167975
Treze de Maio - SC,7,Treze de Maio,SC,0.033376245649167975
Anchieta - SC,6,Anchieta,SC,0.028608210556429696
Anita Garibaldi - SC,6,Anita Garibaldi,SC,0.028608210556429696
Bom Jardim da Serra - SC,6,Bom Jardim da Serra,SC,0.028608210556429696
Ipuaçu - SC,6,Ipuaçu,SC,0.028608210556429696
Jaborá - SC,6,Jaborá,SC,0.028608210556429696
Macieira - SC,6,Macieira,SC,0.028608210556429696
Monte Carlo - SC,6,Monte Carlo,SC,0.028608210556429696
